Dynamic typing,commit_size
(4, 4)
(4, 10)
(17, 7)
(2, 6)
(17, 2)
(3, 5)
(17, 9)
(13, 3)
(17, 12)
(17, 26)
(3, 71)
(2, 6)
(17, 2)
(17, 2)
(4, 9)
(13, 2)
(17, 17)
(2, 25)
(3, 2)
(17, 2)
(13, 65)
(2, 5)
(17, 4)
(2, 19)
(17, 15)
(2, 15)
(13, 1)
(13, 2)
(17, 2)
(4, 2)
(4, 2)
(4, 2)
(4, 4)
(17, 4)
(13, 2)
(5, 2)
(2, 4)
(3, 71)
(4, 5)
(4, 6)
(13, 5)
(13, 5)
(13, 4)
(4, 2)
(4, 6)
(17, 6)
(2, 12)
(5, 2)
(17, 23)
(17, 2)
(4, 2)
(4, 6)
(17, 16)
(3, 2)
(13, 5)
(2, 10)
(4, 3)
(2, 9)
(17, 5)
(4, 18)
(3, 15)
(2, 2)
(3, 4)
(8, 1)
(17, 7)
(4, 2)
(17, 1)
(13, 6)
(4, 9)
(17, 3)
(3, 71)
(8, 1)
(4, 4)
(13, 10)
(4, 2)
(4, 4)
(4, 8)
(4, 4)
(13, 8)
(8, 2)
(4, 3)
(2, 8)
(13, 3)
(8, 2)
(13, 2)
(17, 2)
(2, 11)
(17, 8)
(4, 15)
(13, 40)
(2, 62)
(17, 2)
(17, 2)
(4, 10)
(13, 12)
(17, 13)
(13, 2)
(4, 13)
(13, 2)
(2, 11)
(3, 24)
(2, 29)
(4, 2)
(8, 3)
(2, 29)
(2, 4)
(17, 5)
(13, 11)
(3, 16)
(5, 4)
(2, 12)
(8, 4)
(8, 4)
(4, 5)
(8, 3)
(17, 6)
(2, 2)
(13, 7)
(3, 19)
(5, 4)
(2, 13)
(8, 5)
(5, 39)
(2, 35)
(3, 1)
(17, 50)
(13, 2)
(17, 4)
(4, 6)
(5, 2)
(3, 2)
(3, 2)
(3, 9)
(2, 10)
(2, 2)
(17, 4)
(13, 2)
(17, 8)
(4, 13)
(3, 7)
(17, 7)
(4, 12)
(13, 4)
(4, 24)
(2, 31)
(3, 2)
(2, 10)
(2, 6)
(2, 43)
(2, 6)
(2, 20)
(17, 4)
(3, 4)
(4, 7)
(5, 10)
(17, 2)
(4, 5)
(17, 5)
(2, 10)
(3, 2)
(2, 5)
(17, 4)
(13, 6)
(2, 4)
(4, 3)
(4, 4)
(13, 2)
(2, 2)
(4, 5)
(4, 8)
(2, 4)
(2, 8)
(2, 5)
(13, 103)
(17, 4)
(2, 61)
(4, 13)
(3, 17)
(13, 2)
(4, 3)
(8, 2)
(2, 5)
(17, 8)
(13, 5)
(2, 3)
(2, 2)
(3, 2)
(17, 4)
(3, 4)
(4, 7)
(2, 8)
(3, 72)
(13, 28)
(13, 19)
(3, 16)
(2, 52)
(5, 12)
(2, 93)
(3, 182)
(4, 2)
(2, 10)
(13, 4)
(17, 2)
(17, 4)
(13, 12)
(5, 12)
(13, 6)
(3, 8)
(13, 34)
(3, 15)
(13, 16)
(3, 6)
(13, 16)
(3, 2)
(17, 7)
(17, 2)
(3, 7)
(2, 15)
(4, 2)
(2, 38)
(4, 2)
(13, 4)
(4, 4)
(8, 3)
(13, 4)
(2, 11)
(4, 4)
(8, 3)
(13, 13)
(3, 4)
(2, 9)
(4, 4)
(13, 4)
(13, 15)
(2, 6)
(3, 4)
(2, 31)
(3, 6)
