Dynamic typing,file_size
(29, 982)
(26, 954)
(2, 34)
(2, 21)
(2, 2529)
(6, 769)
(9, 533)
(10, 72)
(29, 305)
('requests', 'file_size', 'Pearsonr', -0.007138392538792923, 0.98438556199703)
Dynamic typing,file_size
(3, 392)
(2, 151)
(4, 213)
(2, 469)
(31, 1465)
(3, 253)
(5, 317)
(2, 121)
(6, 166)
(6, 196)
(17, 1046)
(4, 37)
(12, 227)
(4, 125)
(2, 676)
(6, 379)
(6, 707)
(2, 252)
(15, 827)
(6, 369)
(2, 1342)
(20, 301)
(4, 34)
(2, 338)
(3, 300)
(8, 258)
(2, 451)
(7, 500)
(2, 534)
(3, 244)
(5, 383)
(5, 366)
(3, 539)
(4, 430)
(9, 2008)
(2, 166)
(5, 382)
(6, 209)
(3, 500)
(10, 178)
(4, 155)
(3, 184)
(7, 367)
(5, 153)
(2, 174)
(3, 434)
(2, 317)
(31, 162)
(6, 861)
(5, 945)
(4, 127)
(4, 461)
(2, 293)
(2, 455)
(8, 1058)
(16, 480)
(17, 1082)
(14, 733)
(43, 416)
(39, 1297)
(2, 338)
(3, 346)
(2, 195)
(2, 192)
(2, 307)
(4, 104)
(13, 217)
(9, 1351)
(3, 250)
(3, 516)
(2, 89)
(2, 160)
(2, 133)
(5, 444)
(3, 320)
(4, 40)
(2, 97)
(7, 458)
(5, 505)
(166, 1639)
(10, 435)
(6, 549)
(14, 340)
(13, 201)
(8, 218)
(4, 368)
(2, 187)
(2, 199)
(7, 427)
(8, 999)
(6, 473)
(4, 630)
(2, 156)
(2, 387)
(44, 2170)
(3, 196)
(14, 505)
(23, 342)
(12, 975)
(11, 1650)
(19, 478)
(2, 561)
(4, 1724)
(13, 200)
(43, 499)
(2, 295)
(17, 959)
(8, 1074)
(2, 310)
(4, 1097)
(5, 761)
(10, 131)
(2, 318)
(2, 831)
(2, 85)
(3, 241)
(3, 259)
(20, 593)
(10, 530)
(18, 637)
(21, 911)
(31, 472)
(17, 368)
(4, 254)
(13, 491)
(5, 530)
(3, 415)
(3, 525)
(2, 265)
(3, 187)
(4, 237)
(2, 117)
(4, 193)
(3, 149)
(3, 163)
(4, 88)
(11, 460)
(3, 197)
(4, 380)
(3, 93)
(11, 473)
(9, 747)
(11, 380)
(8, 213)
(2, 303)
(19, 162)
(7, 308)
(6, 274)
(5, 414)
(16, 253)
(2, 479)
(5, 792)
(5, 295)
(6, 214)
(16, 412)
(6, 666)
(2, 350)
(6, 94)
(2, 583)
(10, 998)
(2, 161)
(3, 935)
(2, 1367)
(14, 572)
(3, 153)
(4, 260)
(14, 337)
(3, 639)
(3, 384)
(10, 587)
(12, 572)
(19, 342)
(6, 670)
(6, 116)
(5, 475)
(17, 298)
(7, 439)
(9, 700)
(2, 683)
(4, 252)
(2, 76)
(10, 273)
(14, 123)
(7, 334)
(4, 97)
(2, 367)
(16, 463)
(6, 54)
(17, 1167)
(8, 236)
(6, 259)
(2, 258)
(6, 553)
(26, 815)
(3, 174)
(7, 385)
(2, 89)
(3, 162)
(26, 1027)
(6, 533)
(3, 1129)
(10, 488)
(2, 536)
(2, 143)
(3, 352)
(3, 98)
(5, 564)
(2, 123)
(2, 101)
(4, 367)
(2, 421)
(4, 176)
(2, 78)
(2, 357)
(3, 134)
(2, 78)
(7, 545)
(8, 2865)
(2, 490)
(6, 733)
(2, 162)
(4, 1226)
(6, 412)
(4, 263)
(5, 285)
(13, 911)
(8, 213)
(10, 497)
(11, 266)
(6, 255)
(3, 473)
(2, 162)
(34, 1013)
(2, 397)
(3, 211)
(7, 660)
(3, 488)
(6, 97)
(4, 219)
(5, 233)
(11, 840)
(5, 197)
(2, 114)
(3, 205)
(4, 425)
(3, 364)
(30, 1227)
(11, 199)
(6, 422)
(2, 358)
(3, 96)
(4, 279)
(2, 85)
(2, 242)
(5, 711)
(10, 281)
(3, 230)
(6, 782)
(6, 436)
(4, 114)
(3, 141)
(4, 120)
(6, 687)
(7, 136)
(7, 4308)
(5, 163)
(2, 601)
(4, 848)
(2, 289)
(9, 98)
(2, 42)
(4, 100)
(2, 240)
(6, 1102)
(2, 296)
(13, 284)
(2, 446)
(2, 276)
(6, 326)
(6, 122)
(66, 458)
(2, 332)
(20, 552)
(2, 533)
(2, 213)
(2, 734)
(2, 327)
(2, 409)
(3, 506)
(2, 290)
(2, 185)
(6, 486)
(13, 391)
(5, 83)
(4, 147)
('models', 'file_size', 'Pearsonr', 0.30378547792554284, 9.771597276904574e-08)
Dynamic typing,file_size
(21, 2290)
(2, 258)
(8, 454)
(2, 1300)
(8, 359)
(10, 835)
(7, 85)
(21, 2112)
(32, 2877)
(4, 1073)
(4, 416)
(5, 558)
(3, 597)
(2, 315)
(21, 11542)
(4, 378)
(11, 1528)
(4, 537)
(8, 3653)
(4, 404)
(11, 3376)
(4, 1557)
(5, 698)
(2, 199)
(4, 950)
(2, 2404)
(2, 1192)
(12, 1099)
(2, 228)
(4, 793)
(6, 179)
(3, 248)
(2, 177)
(14, 479)
(12, 1240)
(2, 141)
(4, 622)
(2, 312)
(14, 629)
(2, 303)
(11, 585)
(2, 183)
(2, 216)
(2, 304)
(15, 742)
(2, 329)
(4, 1368)
(2, 560)
(2, 45)
(21, 1862)
(2, 71)
(10, 432)
(2, 2076)
(5, 1953)
(3, 105)
(7, 985)
(4, 397)
(2, 2045)
(2, 60)
(12, 1068)
(6, 504)
(2, 454)
(4, 1145)
(3, 838)
(12, 3549)
(94, 3726)
(2, 407)
(2, 297)
(2, 297)
(2, 646)
(8, 304)
(2, 213)
(2, 237)
(7, 1511)
(9, 96)
(86, 5143)
(11, 2086)
(4, 568)
(3, 1242)
(6, 748)
(2, 348)
(2, 603)
(11, 358)
(9, 538)
(5, 384)
(2, 30)
(4, 194)
(4, 437)
(2, 331)
(55, 5848)
(3, 423)
(13, 447)
(8, 4883)
(4, 554)
(14, 372)
(43, 1955)
(10, 563)
(4, 230)
(2, 753)
(2, 227)
(4, 423)
(15, 918)
(2, 608)
(7, 303)
(4, 438)
(2, 262)
(4, 645)
(7, 1405)
(2, 2073)
(2, 157)
(15, 694)
(2, 593)
(8, 1554)
(27, 736)
(16, 1344)
(4, 550)
(4, 1538)
(5, 2246)
(6, 669)
(4, 761)
(2, 508)
(4, 2845)
(3, 269)
(9, 1335)
(24, 1533)
(4, 2681)
(11, 1303)
(16, 362)
(10, 1984)
(9, 2715)
(25, 3689)
(34, 9233)
(2, 150)
(2, 294)
(9, 601)
(6, 1574)
(6, 1065)
(2, 211)
(2, 181)
(2, 1748)
(7, 651)
(17, 471)
(4, 631)
(4, 399)
(2, 121)
(7, 1311)
(2, 795)
(27, 2121)
(9, 2430)
(4, 475)
(12, 2403)
(4, 474)
(20, 365)
(6, 1907)
(7, 264)
(6, 90)
(9, 538)
(14, 1091)
(8, 755)
(3, 133)
(6, 1364)
(8, 1010)
(7, 1206)
(8, 2857)
(7, 1749)
(17, 1782)
(6, 491)
(2, 464)
(12, 2322)
(2, 313)
(4, 4441)
(4, 525)
(2, 386)
(6, 1299)
(2, 127)
(2, 1625)
(6, 1056)
(8, 794)
(4, 51)
(4, 107)
(2, 178)
(4, 415)
(2, 204)
(2, 209)
(9, 1037)
(6, 904)
(2, 109)
(2, 193)
(4, 867)
(20, 1054)
(5, 1026)
(29, 541)
(2, 107)
(14, 2475)
(6, 561)
(2, 199)
(3, 609)
(11, 4879)
(6, 625)
(18, 1578)
(2, 149)
(14, 3619)
(3, 2240)
('pandas', 'file_size', 'Pearsonr', 0.5049911207339316, 1.3374259755141127e-14)
Dynamic typing,file_size
(8, 117)
(2, 149)
(10, 1129)
(3, 109)
(9, 114)
(11, 298)
(2, 97)
(27, 235)
(3, 217)
(2, 94)
(36, 1276)
(21, 255)
(3, 102)
(8, 162)
(31, 145)
(2, 261)
(26, 1131)
(27, 517)
(8, 97)
(2, 260)
(3, 206)
(24, 642)
(3, 158)
(7, 384)
(2, 395)
(4, 103)
(19, 358)
(8, 174)
(3, 113)
(2, 469)
(23, 400)
(4, 962)
(2, 840)
(2, 45)
(2, 106)
(2, 126)
(2, 69)
(2, 34)
(3, 304)
(6, 57)
(2, 49)
('auto-sklearn', 'file_size', 'Pearsonr', 0.4675867581937384, 0.001794600205961489)
Dynamic typing,file_size
(4, 427)
(4, 1205)
(15, 160)
(3, 321)
(2, 106)
(2, 916)
(2, 1123)
(2, 190)
(10, 691)
(7, 2456)
(3, 58)
(2, 210)
(8, 134)
(14, 553)
(4, 577)
(2, 486)
(2, 232)
(2, 148)
(4, 649)
(10, 1084)
(15, 1265)
(2, 351)
(9, 120)
(4, 340)
(2, 125)
(9, 349)
(4, 441)
(2, 347)
(3, 114)
(9, 1476)
(2, 773)
(11, 1487)
(4, 447)
(5, 228)
(11, 193)
(3, 110)
(2, 787)
(5, 439)
(12, 84)
(5, 74)
(2, 294)
(8, 673)
(4, 326)
(4, 218)
(2, 144)
(13, 389)
(6, 198)
(2, 479)
(81, 1228)
(4, 1400)
(4, 2196)
(8, 274)
(2, 82)
(23, 3792)
(19, 1045)
(14, 526)
(2, 145)
(5, 867)
(10, 339)
(2, 95)
(2, 38)
(9, 414)
(12, 1278)
(3, 171)
(22, 474)
(24, 564)
(4, 63)
(7, 1825)
(5, 140)
(2, 275)
(2, 227)
(4, 172)
(7, 234)
(2, 766)
(6, 188)
(17, 2109)
(4, 324)
(7, 158)
(25, 2417)
(6, 156)
(4, 162)
(8, 1365)
(5, 210)
(3, 377)
(5, 117)
(6, 167)
(2, 180)
(6, 3982)
(4, 125)
(3, 482)
(4, 312)
(3, 18)
(15, 2383)
(11, 90)
(34, 640)
(2, 1143)
(2, 907)
(2, 249)
(17, 662)
(2, 299)
(7, 401)
(19, 1979)
(2, 321)
(4, 636)
(4, 288)
(22, 359)
(7, 245)
(13, 499)
(13, 318)
(11, 704)
(12, 294)
(10, 537)
(2, 527)
(5, 332)
(2, 203)
(2, 27)
(7, 1334)
(8, 57)
(10, 606)
(29, 227)
(2, 288)
(13, 295)
(4, 65)
(2, 18)
(2, 117)
(10, 1445)
(3, 143)
(29, 550)
(10, 1561)
(6, 360)
(16, 563)
(6, 113)
(3, 234)
(5, 79)
(2, 654)
(2, 597)
(7, 216)
(3, 471)
(2, 43)
(2, 75)
(4, 361)
(6, 190)
(6, 437)
(3, 349)
(18, 351)
(2, 61)
(3, 832)
(2, 92)
(2, 674)
(21, 1609)
(9, 707)
(4, 208)
(9, 405)
(10, 2021)
(3, 18)
(4, 133)
(10, 367)
(2, 1998)
(2, 375)
(5, 30)
(68, 187)
(3, 89)
(4, 348)
(10, 738)
(2, 661)
(4, 196)
(2, 470)
(2, 304)
(10, 163)
(10, 424)
(2, 383)
(2, 278)
(2, 328)
(4, 1492)
(2, 1459)
(3, 642)
(10, 259)
(2, 1068)
(3, 48)
(8, 414)
(2, 208)
(3, 216)
(3, 142)
(2, 340)
(2, 377)
(2, 604)
(5, 1484)
(6, 1692)
(14, 1580)
(10, 525)
(2, 107)
(4, 724)
(2, 862)
(2, 685)
(2, 701)
(2, 319)
(8, 101)
(6, 43)
(20, 2974)
(12, 859)
(4, 619)
(2, 319)
(7, 349)
(3, 241)
(5, 203)
(2, 75)
(3, 70)
(2, 38)
(3, 190)
(3, 887)
(2, 69)
(12, 563)
(2, 1380)
(6, 548)
(2, 412)
(2, 107)
(3, 172)
(2, 275)
(4, 612)
(2, 76)
(6, 407)
(6, 252)
(2, 339)
(3, 240)
(2, 87)
(10, 809)
('django', 'file_size', 'Pearsonr', 0.2559356365528498, 9.62226657731812e-05)
