project,OR,pvalue,OR,pvalue,Pearsonr,pvalue,spearmanr,pvalue,Pearsonr,pvalue,spearmanr,pvalue,Pearsonr,pvalue,spearmanr,pvalue,OR,pvalue,pearsonr,pvalue,spearmanr,pvalue,OR,pvalue
httpie,2.3523809523809525,0.0213007462674422,0.8272727272727273,0.6324692953087061,-0.054327653778951594,0.7755435077211247,-0.152680041135884,0.42054982097372684,0.18852915144983504,0.06164878164320724,-0.07435425296381654,0.4645147170387155,0.931863509575749,0.002243177739121193,0.7484811885651198,0.05293045417204596,inf,0.001993768765797214,0.5097970656333186,0.24247347724805343,0.6289245734156932,0.1302654702010489,0.9855769230769231,1.0
sentry,0.7158002141871292,2.0432202224694877e-12,0.8397286625493571,0.022689712765439733,0.03026569324986139,0.6185609687465281,-0.29799888608307956,5.287587319552129e-07,0.019566440349363914,0.11366093982572734,0.11950370725278711,3.143706174624887e-22,0.4696226848318669,3.2893629342931827e-10,0.3236145401636341,2.820970975349576e-05,inf,0.07542694824753063,0.1920868852866746,0.01464281070495322,0.21905256940145504,0.0052416125084948605,1.1113359978879433,0.006339744369026557
core-dev,0.7567973409434717,1.1408372413684796e-09,0.8810914190057745,0.00601367785431742,-0.07181496986021699,0.00037970226585329483,-0.5292363450269415,1.4071508203386978e-176,0.10228866985761187,1.677516482824067e-42,0.06603288480310172,1.2854854743468377e-18,0.3473056777852383,3.4562985139969447e-10,0.24304894914636957,1.5599561457196573e-05,nan,1.0,0.1025588838206606,0.07181897643223385,0.1402835775843398,0.013580088719069763,0.8977353613009849,0.003935840293617458
face_recognition,1.7960526315789473,0.3274931758609735,0.4267241379310345,0.04645125107262976,-0.21837178108151067,0.5724376855934288,-0.01988598246420039,0.959501957078303,0.18491157388894597,0.16089523592176758,0.2532410447618319,0.052961347369754205,-0.012733240404844397,0.9740635602182003,0.296683051981965,0.43819780359128657,0.4,0.517241379310345,-0.046423834544262965,0.905595828655555,-0.16011119017838504,0.680712116267217,1.0108374384236454,1.0
you-get-develop,0.6469793621013133,0.005253151216482334,0.9007234979553319,0.5298642238405005,-0.38137254291896955,0.13093304562145133,-0.16390251702679645,0.5296196592351883,-0.03942463979705943,0.4175487294559793,-0.2725038371138189,1.1319143749589757e-08,0.9082079355036689,1.7587611196053156e-05,0.41012109876767555,0.16396277889198685,inf,1.0,-0.17231564280179004,0.5734824819830506,0.7736511946060514,0.0019166699140540247,0.6544359694901646,0.006888494554401492
requests,1.5928722440350347,0.0007041065339285627,0.9977145252400248,1.0,-8.643960109869224e-05,0.9986441003844626,0.027052090856510776,0.5947738158879375,-0.07229071912890604,0.0024574441919490665,-0.11974797636471321,4.950137996263903e-07,0.08146744114378053,0.8229680399208239,0.3126526997403612,0.3790974700089891,inf,0.001080343955192228,0.5940401295066863,0.07016314998583552,0.6956675727873599,0.025486059954170658,0.6245557149092723,1.0049596441066309e-05
youtube-dl,1.1508307372793354,0.09670097956353368,0.9146761734997029,0.24174909799340905,-0.003041782854493837,0.9506196490413555,-0.3060061117584979,1.727013553123067e-10,-0.019631253061384902,0.350373454278351,-0.0788043852348262,0.00017387610562526645,0.7323615037079789,1.3998434806116898e-20,0.4979758461011555,1.4907409165927124e-08,inf,0.37381008937629023,0.4007257236499599,9.088245754978642e-06,0.5625393364167741,6.039184118410076e-11,0.991377461991892,0.8884398056618725
scrapy,0.6166774821544452,0.0007124758162979224,1.0291440842621944,0.8501348925312924,-0.138812940837883,0.029841973251231644,-0.39979033328468905,8.09945740595026e-11,0.020548757754700303,0.5320608742817944,-0.022450514264669395,0.49479183902518276,0.44038806829151894,0.019008124295397333,0.10782486444493922,0.5849702846970057,inf,1.0,-0.20374697384068838,0.29837126504556943,-0.08170249149529264,0.6793792671626533,0.9180768094415147,0.332092599149756
models,0.98245492050248,0.948628092534284,0.7214140026640027,0.004582330448621087,-0.22024493617168797,0.07557126502698475,-0.5310305875828747,4.494926708611432e-06,0.28005720427660663,4.0955739449701536e-55,0.13492875608939567,1.2045702622926695e-13,0.35814966602870435,2.1874617050183936e-10,0.38411339033228614,7.6503982919791e-12,1.3234765719834911,0.36242808307905466,0.05264015037306396,0.36681827977094705,0.057140456347863064,0.3272230377726657,1.2671029434905643,0.002039499543031961
certbot,0.8349456867243429,0.19588485933485025,0.8653115925843199,0.3033840462127537,-0.2971438341559717,3.5768052891369765e-08,-0.5835935737673114,1.3378484566047181e-31,-0.013227521049095926,0.7507791055719503,0.10816310135406242,0.00919582606337271,0.009895923290982827,0.9543210437817258,0.15096645371086212,0.37946416713355924,nan,1.0,-0.020467971464680716,0.9056825985992535,-0.06703575325244107,0.6976777651230264,0.8505445114333822,0.01624665697733444
localstack,1.5013513513513514,0.030519128495072434,1.2522796352583587,0.502320958501276,-0.10162825314305511,0.07444924419069317,-0.07595651669723297,0.18295651676570496,-0.010702517818637357,0.6959182217294565,0.0018248860208931442,0.9468685890559349,0.40208238514586736,0.02036302865514014,0.25987735901486747,0.1441393526677324,inf,0.014424435212663424,0.28626210214558995,0.10630058456684882,0.3340012235852123,0.0574764194029771,1.2297825143463375,0.14804977527113
pandas,0.8270934132327741,3.2062416100758677e-06,1.2490416467878,2.8010318208321592e-08,-0.039937765228768275,0.002020630004851762,-0.1420941201617787,2.575908824397318e-28,0.004762940727324616,0.4784916966045819,0.0284631452046036,2.2735460785617566e-05,0.5015539840925143,2.1495911956672737e-14,0.5538238886836404,8.558297435956964e-18,nan,1.0,0.476451911009055,5.881665099313873e-13,0.45613925798251276,7.073311846131911e-12,0.9453447881156962,0.023526131408174968
XX-Net,1.054945054945055,0.8769484063626852,0.7865546218487395,0.4726328123199586,-0.6035354797289392,0.008002137608486103,-0.6111530029936292,0.007047104302627243,0.15454612237530668,0.08033529875204715,-0.10029992150716469,0.2580742347653324,0.6835712886509715,1.7554157699081828e-09,0.30084928542808337,0.019504610590118297,1.3225371120107963,0.4230657280340175,0.021836332951302665,0.8684677374354735,0.06592221310164875,0.6167691324357214,nan,1.0
