project,OR,pvalue,OR,pvalue,Pearsonr,pvalue,spearmanr,pvalue,Pearsonr,pvalue,spearmanr,pvalue,Pearsonr,pvalue,spearmanr,pvalue,OR,pvalue,pearsonr,pvalue,spearmanr,pvalue,OR,pvalue
httpie,1.3513513513513513,0.4914169387804562,0.8565573770491803,0.8328618087378432,-0.14941111563728182,0.529540559591752,-0.2775795630895694,0.23605486519097915,nan,1.0,nan,nan,nan,nan,nan,nan,0.22727272727272727,0.23763821802288937,nan,nan,nan,nan,0.7705263157894737,0.5775688569900778
sentry,0.7698621393776992,3.935205986342035e-07,0.8210468117831208,0.014304894395057218,-0.06852828040957126,0.31838392263819526,-0.45524137048880836,2.4061459158957843e-12,0.015997126587323354,0.31003053793812435,0.016645161040788604,0.29083710734564894,0.31166694021355806,0.001510588568868605,0.18813427472452218,0.0595578959014587,0.03623489425981873,8.114397924333555e-48,0.18625545844621255,0.06219556760507669,0.16473830940242556,0.09971021089276395,1.117466106905342,0.007213775133387959
core-dev,0.5709177157453019,0.01335007163311744,0.343908799712755,1.8866361082451358e-10,-0.24514155753818956,7.038956103585398e-14,-0.42617176825046593,2.531336692046218e-41,0.04857390606532874,0.2554384983970886,-0.010320391190756428,0.8091750528867345,-0.007985369599642493,0.9765849541323529,-0.15905215976166034,0.5562862137928172,0.0,0.0,-0.04731284471906932,0.8618686443123307,0.11556842118712454,0.6699561945381167,0.7967807994757536,0.2249644771598222
face_recognition,1.803921568627451,0.3250252110309815,0.4751131221719457,0.07468917650045645,-0.23834875251522222,0.5368435214301341,-0.01988598246420039,0.959501957078303,0.21969474289987062,0.12932695142245207,0.4136179134238028,0.003135614543510373,-0.23133635009219075,0.7081020985848623,-0.21081851067789195,0.7335793204938506,0.05434782608695652,0.013272322782890058,0.0,1.0,-0.22031372835550447,0.7217739202825126,1.1150537634408602,0.8509442895687023
you-get-develop,0.40384615384615385,0.03922669014297438,0.39721169132933837,0.01794530277597153,-0.886169441858083,0.11383055814191703,-0.8944271909999159,0.10557280900008413,-0.08757471044984662,0.5583180909560128,-0.12175415874715177,0.41491925863223567,-0.5265673346971665,0.2831504918419353,-0.14285714285714288,0.7871720116618075,0.026578073089700997,1.999527573680269e-06,0.942857142857143,0.004804664723032055,0.8437704001145437,0.034704930164715,0.24361247262488267,0.035306505713231975
requests,1.3149265349810255,0.017554317317311524,0.8930200729927007,0.31080216440366815,-0.06909356856528734,0.2605694436934242,-0.1719214945171925,0.00484677407429611,0.03057946328587194,0.3913099180137547,0.02607726583384931,0.46478770943130765,-0.8237942489823749,0.3837062623668911,-1.0,0.0,0.41517857142857145,0.31226123047849114,-1.0,0.0,-0.6872379702119796,0.5176459333593177,0.952509802080154,0.6452749992798208
youtube-dl,1.1112498685455885,0.2166934439761699,0.9203517587939698,0.2952008522720134,-0.04726206145470236,0.35378901877328073,-0.3643545329869327,1.3574669101208598e-13,-0.0322917769671961,0.16560490176435605,-0.0432144692289832,0.0634792090659526,0.6169286096678053,1.1032720245857673e-09,0.5556097960126486,8.815540762809603e-08,0.03007518796992481,7.066347753305547e-25,0.3896463959686278,0.0003535197478255459,0.5920922993780959,7.2651150525317206e-09,1.0293713267687183,0.6410530822917503
scrapy,0.5915696030758792,0.0016120416715018444,0.8682158225753062,0.3169865966831489,-0.24256066934533305,0.0005049276486772999,-0.5269311312949648,7.908328880031647e-16,0.05522176043652621,0.23821189587241776,0.09188196413587585,0.04939745185085205,0.22876874840856873,0.47449489482696006,0.0035919669993427204,0.9911605457782642,0.005016722408026756,6.955782003051566e-18,0.1041670429809389,0.7473241593060043,0.39632354684771737,0.20215337901671238,1.1329579650178672,0.20466645506761144
models,0.8908013544018059,0.44902667876984403,0.7315827166388159,0.011280321169020897,-0.28411894797130244,0.032202824563076105,-0.5786471953813129,2.420669832057762e-06,0.2524984213018221,4.558599679440742e-31,0.11249723182514959,3.4570996752462836e-07,0.24094233231347167,0.0009852574128072934,0.2580966122740546,0.00040430688687091807,0.10211481776072615,1.752150568249359e-45,0.07286803752633021,0.3256066166266204,0.050031042395507104,0.5000241669868368,1.217218189897793,0.016625299060889276
certbot,0.8267582310539645,0.20717350186713412,0.8268690768690768,0.23062998995291106,-0.19381883372557487,0.0006936903297514189,-0.6850244078619834,2.6296007252030776e-43,-0.04446800632498658,0.37687861818041457,-0.0678794190421798,0.1770864218495626,0.30280638169966345,0.20762066823255548,0.4115869329214215,0.0799742315768638,0.0,7.356681038139549e-20,0.07760799967731641,0.7521572428037719,-0.20354720964759532,0.4032615897714307,0.8257544107722466,0.00776240510205544
localstack,1.3347534996956787,0.06516186472379762,1.0120144173007608,1.0,-0.05840687807890637,0.33993282443982586,-0.05113739129810129,0.40351698807531944,-0.014510157100925992,0.6576803584157276,0.04130429606986968,0.2070055644969877,0.041163494361820915,0.8711704121998157,0.23950493961309277,0.3384585579614814,0.18095238095238095,9.084587946193077e-05,0.20850801905026214,0.40636891575588274,-0.0167767900195944,0.9473204205309268,1.1695906432748537,0.22050943088971336
