project,OR,pvalue,OR,pvalue,Pearsonr,pvalue,spearmanr,pvalue,Pearsonr,pvalue,spearmanr,pvalue,Pearsonr,pvalue,spearmanr,pvalue,OR,pvalue,pearsonr,pvalue,spearmanr,pvalue,OR,pvalue
httpie,2.3523809523809525,0.0213007462674422,0.8272727272727273,0.6324692953087061,-0.027857967792472446,0.8838196140330922,-0.152680041135884,0.42054982097372684,0.18852915144983504,0.06164878164320724,-0.07435425296381654,0.4645147170387155,0.9414994517859508,0.0015403005291754642,0.7484811885651198,0.05293045417204596,inf,0.001993768765797214,0.5097970656333186,0.24247347724805343,0.6266396385639725,0.13209488753632628,0.9855769230769231,1.0
sentry,0.7158002141871292,2.0432202224694877e-12,0.8397286625493571,0.022689712765439733,0.0017908767788967148,0.9765021932244207,-0.3352225267304288,1.3586526365593574e-08,0.019566440349363914,0.11366093982572734,0.11950370725278711,3.143706174624887e-22,0.353654885230734,4.1841535145887585e-06,0.24683738114811418,0.0015961902082504815,inf,0.07542694824753063,0.12732569598665508,0.10749579329105881,0.1515566173030754,0.05496473982958329,1.1113359978879433,0.006339744369026557
core-dev,0.7567973409434717,1.1408372413684796e-09,0.8810914190057745,0.00601367785431742,-0.06998406915701816,0.0005342380276976172,-0.5265088577861258,1.8545218069466156e-174,0.10228866985761187,1.677516482824067e-42,0.06603288480310172,1.2854854743468377e-18,0.3279062493246051,3.5316208029850807e-09,0.20715081970984192,0.0002459224840096473,nan,1.0,0.07290800113285001,0.2012095454779312,0.1261473083410107,0.02659951345643685,0.8977353613009849,0.003935840293617458
face_recognition,1.7960526315789473,0.3274931758609735,0.4267241379310345,0.04645125107262976,-0.23404621751946353,0.5444367312845036,-0.01988598246420039,0.959501957078303,0.18491157388894597,0.16089523592176758,0.2532410447618319,0.052961347369754205,0.0883809110972863,0.8211197616360153,0.5683416511359185,0.11034171589497704,0.4,0.517241379310345,0.4268733022776265,0.2518441634752698,-0.0022526865227041003,0.9954108841065012,1.0108374384236454,1.0
you-get-develop,0.6469793621013133,0.005253151216482334,0.9007234979553319,0.5298642238405005,-0.3163899060890797,0.21600001831293733,-0.24459781577750525,0.34406382997058227,-0.03942463979705943,0.4175487294559793,-0.2725038371138189,1.1319143749589757e-08,0.4639922569003348,0.11022990467553176,-0.03051461432566711,0.9211719090289123,inf,1.0,-0.025000868100769402,0.935385866488593,0.423083214006469,0.14974184199441246,0.6544359694901646,0.006888494554401492
requests,1.5928722440350347,0.0007041065339285627,0.9977145252400248,1.0,0.026069261296005754,0.6082320795872098,0.012225234375553494,0.8100571217776987,-0.07229071912890604,0.0024574441919490665,-0.11974797636471321,4.950137996263903e-07,-0.091585680824341,0.8013283528065793,0.21260383582344564,0.5553865257940316,inf,0.001080343955192228,0.5190034815689996,0.12423936805850568,0.35220375544894905,0.31822296086290924,0.6245557149092723,1.0049596441066309e-05
youtube-dl,1.1508307372793354,0.09670097956353368,0.9146761734997029,0.24174909799340905,-0.011181230602618478,0.8199191803785769,-0.3120044344192248,7.242948341434523e-11,-0.019631253061384902,0.350373454278351,-0.0788043852348262,0.00017387610562526645,0.6918043334409666,1.1243853788963116e-17,0.5309850187068342,1.0306734683302642e-09,inf,0.37381008937629023,0.34084947846709074,0.0001933610510173618,0.609231246095637,5.022141097334672e-13,0.991377461991892,0.8884398056618725
scrapy,0.6166774821544452,0.0007124758162979224,1.0291440842621944,0.8501348925312924,-0.14702394671177657,0.021332704970965642,-0.42528018130592726,3.5085675677810442e-12,0.020548757754700303,0.5320608742817944,-0.022450514264669395,0.49479183902518276,0.25362116154397324,0.1928257349787886,0.1393180627914936,0.4795347508274249,inf,1.0,0.03578857260307063,0.8565254334941569,0.28444206419482015,0.14237497861437834,0.9180768094415147,0.332092599149756
models,0.98245492050248,0.948628092534284,0.7214140026640027,0.004582330448621087,-0.2171806923684149,0.07983464166420352,-0.5250211147989885,6.018741893412086e-06,0.28005720427660663,4.0955739449701536e-55,0.13492875608939567,1.2045702622926695e-13,0.3407274723776493,1.762229074034717e-09,0.3750444507335778,2.5535909009508668e-11,1.3234765719834911,0.36242808307905466,0.08015397344054441,0.16900744350697913,0.07952944932077338,0.1723632824131595,1.2671029434905643,0.002039499543031961
certbot,0.8349456867243429,0.19588485933485025,0.8653115925843199,0.3033840462127537,-0.23955721532876123,1.0520114525674931e-05,-0.5926216370562144,9.120785172135152e-33,-0.013227521049095926,0.7507791055719503,0.10816310135406242,0.00919582606337271,0.1927713931864893,0.25999040024183206,0.2310665967159398,0.17512990943917078,nan,1.0,0.10768594042256643,0.5318823735652374,-0.07965264606166382,0.6442359977117291,0.8505445114333822,0.01624665697733444
